id,entity,type,name,status,owner,updatedAt,publishDate,channel,pillar,brief
social-2026-07-01,VYTAL House,socialPost,The VYTAL signal,draft,marketing,2026-06-19,2026-07-01,Instagram,Brand reveal,"Introduce name, tagline, spacecraft ambience, and founder member waitlist."
social-2026-07-03,VYTAL House,socialPost,Step into recovery,draft,marketing,2026-06-19,2026-07-03,TikTok,Facility concept,Short video concept using floor plan zones and ambient lounge references.
social-2026-07-05,VYTAL House,socialPost,Why VYTAL House,draft,marketing,2026-06-19,2026-07-05,LinkedIn,Founder note,Business-focused recovery club thesis and Maryland launch intent.
social-2026-07-08,VYTAL House,socialPost,HBOT explained,draft,marketing,2026-06-19,2026-07-08,Instagram,Therapy education,Source-backed carousel on chamber experience and member journey.
social-2026-07-10,VYTAL House,socialPost,Founder member briefing,draft,marketing,2026-06-19,2026-07-10,Newsletter,Waitlist,Invite premium founding members to book a tour consultation.
social-2026-07-12,VYTAL House,socialPost,Engineering the room,draft,marketing,2026-06-19,2026-07-12,Instagram,Vendor spotlight,Show vendor inquiry stage without claiming purchases.
social-2026-07-15,VYTAL House,socialPost,Medical oversight matters,draft,marketing,2026-06-19,2026-07-15,LinkedIn,Operations,Explain compliance-first service design and professional review gates.
social-2026-07-18,VYTAL House,socialPost,Recharge. Recover. Evolve.,draft,marketing,2026-06-19,2026-07-18,TikTok,Lifestyle,"Fast cuts: lounge, IV chairs, red light, cold plunge, compression."
social-2026-07-22,VYTAL House,socialPost,"Core, Elite, Black",draft,marketing,2026-06-19,2026-07-22,Instagram,Membership,Explain tiers and waitlist priority.
social-2026-07-29,VYTAL House,socialPost,Build-out roadmap,draft,marketing,2026-06-19,2026-07-29,Newsletter,Launch status,"Lease, equipment, medical setup, design, pre-sales next steps."
